D_SUBTIPO,Tipo
FORMA_SCAR_SALTO,Dati fisici
LARGHEZZA,Dati fisici
D_PERIODICITA,Data e ora
D_TARIFFA_GEO,Dati commerciali
FORMULA,Altro
LARGHEZZA,Dati fisici
D_PERIODO_RIF,Data e ora
D_TECNOLOGIA,Altro
FORNITORE,Dati commerciali
LARG_SOGLIA_SFIORO,Dati fisici
D_POSA,Altro
D_TELECONT,Altro
FRONTECIVICO,Dati commerciali
LARG_UTI_POZ_SCOL,Dati fisici
D_POSA,Altro
D_TEN_SCUDO,Dati fisici
FUNZIONALITA,Altro
LASTNAME,Denominazione
D_POSIZ,Dati geografici
D_UBICAZIONE,Dati geografici
FUNZIONAM_GRAVITA,Presenza
LAST_EDITED_DATE,Data e ora
D_POSIZIONE,Dati geografici
D_UBICAZIONE,Dati geografici
GEOMETRY_TYPE,Tipo
LAYERS,Altro
D_PREDIS_ALL,Dati fisici
D_UBICAZIONE,Dati geografici
GEWRK,Id
LAYOUT_INFO,Altro
D_PROP_STRADA,Altro
D_UBICAZIONE_CONT,Dati geografici
GEWRK_KTEXT,Descrizione
LAYOUT_INFO,Altro
D_PROP_STRADA,Altro
D_UBICAZIONE_SERB,Dati geografici
GG_INTER_SERV,Altro
LEGEND_KEY,Altro
D_PROV_ACQUA_TRATT,Dati geografici
D_UTILIZZO,Altro
GG_PERIODO,Data e ora
LIQUAMI_CIVILI,Altro
D_QUAL_RILIEVO,Altro
D_VERSO_CHIUS,Dati fisici
GIRANTE,Altro
LIQUAMI_INDUSTR,Altro
D_REAGENTE_1,Altro
D_VERSO_CHIUS,Dati fisici
GRADO_PROTEZ,Dati fisici
LIVELLO,Dati fisici
D_REAGENTE_2,Altro
EDIT,Altro
GRADO_PROTEZ_MIN,Dati fisici
LIVELLO_MAX,Dati fisici
D_REGOLAZIONE,Manutenzione
EFFICIENZA_MOTORE,Dati fisici
GRADO_PROTEZ_MIN,Dati fisici
LIVELLO_MIN,Dati fisici
D_RESISTENZA,Dati fisici
EMAIL,Denominazione
GRIGLIA_POT,Dati fisici
LIV_MEDIO_FALDA,Dati fisici
D_RINFIANCO,Manutenzione
ENABLED,Altro
GRP_SC_RAP,Altro
LOCALITA,Dati geografici
D_RIV_EST,Altro
ENABLED,Altro
GRP_SC_RAP,Altro
LOCATION,Dati geografici
D_RIV_EST,Altro
ENTE,Dati commerciali
GRP_SC_RAP_DESC,Dettagli
LOGIN,Denominazione
EQART,Tipo
GRUND,Dati commerciali
HAS_GEOMETRY,Altro
LTRMN,Altro
LTRUR,Altro
PARTICELLA_CATAST,Dati commerciali
RES_FISSO,Altro
SN_ATTIVO,Altro
LU_NAME,Denominazione
PASSWORD,Denominazione
RICHIEDENTE,Dati commerciali
SN_ATTUATORE,Presenza
MAGNESIO,Dati fisici
PERCOLATI,Altro
RISERVA_ACQUA,Altro
SN_ATTUATORE,Altro
MANGANESE,Dati fisici
PH,Dati fisici
ROLE,User/operatore
SN_AUTOCLAVE,Altro
MARCA,Dati commerciali
PLNAL,Altro
ROTAZIONE,Dati fisici
SN_BIL_PERD,Dati commerciali
MASSIMA_GIORNO,Altro
PLNNR,Altro
ROTAZIONE,Dati fisici
SN_BIODISCHI,Dati fisici
MASSIMA_NOTTE,Altro
PLTXT,Descrizione
SAPOBJNR,Altro
SN_BRACCIO_SCA,Dati fisici
MC_AUTORIZZATI,Dati fisici
POD,Codice
SCABREZZA,Altro
SN_BYPASS,Presenza
MC_FATTURATI,Dati fisici
ATTIVA_DEP_D2,Altro
SCABREZZA,Altro
SN_BYPASS,Altro
MEASURE_TYPE,Tipo
POS,Altro
SCALA_FUNZIONAM,Altro
SN_CAMBIO_CONDOTTA,Manutenzione
MESSAGGIO,Altro
POTASSIO,Dati fisici
SCARTAMENTO,Altro
SN_CAM_PRESA,Manutenzione
MINIMA_GIORNO,Dati fisici
POT_PROG,Dati commerciali
SCHEMAPRGA,Altro
SN_CHIARIFIC,Manutenzione
MINIMA_NOTTE,Dati fisici
PRESC_PREL,Altro
SCHEMA_,Altro
SN_CHIRIF_DEFOS,Manutenzione
MOD_VERIFICA_RIPR,Altro
PRESID_IMP,Dati geografici
SEDE_TECN_DEP,Dati commerciali
SN_COLIFORMI,Altro
MZEIT,Data e ora
PREVALENZA,Altro
SEGNALANTE,Altro
SN_COL_ELETTR,Dati fisici
NAZIONE,Dati geografici
PREVAL_ESE,Altro
SERVIZIO,Presenza
SN_CONCESS_RIC,Dati commerciali
NITRATO,Dati fisici
PREVAL_ESE,Altro
SESSION_VALID,Altro
SN_CONDIVISO,Altro
NITRITO,Dati fisici
PREVAL_NOM,Altro
SHAPE,Altro
SN_COND_SITO,Dati fisici
NOMINATIVO,Denominazione
PRIOK,Altro
SHAPE,Altro
SN_CONFLUENZA,Altro
NOMINATIVO_GEST,Denominazione
PRIOKX,Descrizione
SIGLA_PROV,Dati commerciali
SN_CONFORME_ATEX,Altro
NUMAZIE,Codice
PRODUZIONE,Dati commerciali
SIMUL_PARAMS,Altro
SN_CONF_ATEX,Altro
OBJNR_QMEL,Dati commerciali
PRODUZ_FANGHI,Dati commerciali
SN_319_76,Altro
SN_CONF_ATEX_RICH,Altro
ODL,Altro
PRODUZ_FANGHI_DISID,Altro
SN_ACQ_SCAR,Altro
SN_CONF_ATEX_RICH,Altro
ODL,Altro
PROGRESSIVO,Altro
SN_ALIMENTATRICE,Altro
SN_CONTATORE,Presenza
OLD_ID,Id
PROGR_KM,Dati geografici
SN_ALLACCIABILITA,Presenza
SN_CONTR_PRES,Manutenzione
OLD_IDGIS,Id
PROVINCIA,Dati geografici
SN_ALLAC_FGN,Presenza
SN_COP_TOT_GEST,User/operatore
OLD_PROV_DATO,Altro
PUMAN,Altro
SN_ALLAC_FGN,Presenza
SN_COSTR_GEST,User/operatore
OPERATORE,User/operatore
QMART,Tipo
SN_ALLAC_FGN,Presenza
SN_COSTR_GEST,User/operatore
OPERATORE,User/operatore
QMNAM,Altro
SN_ALL_ANOMALI,Presenza
SN_CUNIC_PRESA,Altro
OPERATORE,User/operatore
QMTXT,Descrizione
SN_ALTRI_INQ,Dati fisici
SN_DEFAULT,Altro
OPZIONI_CAMPI,Altro
RANKING,Altro
SN_AMMON_NITR,Dati fisici
SN_DEFOSF_SIM,Manutenzione
ORGANIZATION,Dati commerciali
RAPPORTO_DILUIZ,Dati fisici
SN_ANIDR_SOLF,Dati fisici
SN_DENITR,Manutenzione
PADRI_GERARCHIA,Altro
RAPP_DILUIZ_8H,Dati fisici
SN_ANTINCENDIO,Presenza
SN_DEODOR,Manutenzione
SN_APERTO,Altro
SN_APPROV,Altro
SN_DER_ALTRO,Denominazione
SN_EROGANTE,Dati geografici
SN_ESISTENTE,Dati fisici
SN_LAGUNAGGIO,Altro
SN_SALTUARIO,Altro
SN_USO_MEDIA,Altro
SN_ESSIC_LETTO,Dati fisici
SN_LETTI_PERCOL,Altro
SN_SCARICO,Presenza
SN_USO_POTAB,Altro
SN_ESSIC_TERM,Dati fisici
SN_LINEA_PRINCIP,Altro
SN_SCARICO,Dati fisici
SN_USO_SOST_PER,Altro
SN_FERRO,Dati fisici
SN_MAC_GALLEG,Dati fisici
SN_SCARICO_FONDO,Dettagli
SN_USO_SOST_PER,Altro
SN_FILTRO,Presenza
SN_MAC_RAD_EME,Dati fisici
SN_SCARICO_SOST_PER,Altro
SN_UTENZA,User/operatore
SN_FILTR_LENTA,Dati fisici
SN_MAC_RAD_SOM,Dati fisici
SN_SCARICO_SOST_PER,Altro
SN_VALIDAZIONE_FS,Altro
SN_FILTR_SAB,Dati fisici
SN_MAC_SUP,Dati fisici
SN_SCAR_SUP,Altro
SN_VIRTUALE,Altro
SN_FITODEP,Manutenzione
SN_MANGAN,Dati fisici
SN_SEDIM_PRIM,Altro
SN_VISIBILE,Altro
SN_FITOFARMACI,Manutenzione
SN_METEORICO,Altro
SN_SEDIM_SEC,Altro
SN_VOLANTINO,Altro
SN_FITTIZIA,Altro
SN_MET_PES,Altro
SN_SFIATO,Altro
SN_VOLANTINO,Dati fisici
SN_FITTIZIA,Altro
SN_MIC_ULT_FILT,Altro
SN_SGRIGLIAT,Dati fisici
SODIO,Dati fisici
SN_FLUS_SOM_ORI,Dati fisici
SN_MISURATORE,Altro
SN_SIFONATO,Dati fisici
SOGESID,Codice
SN_FLUS_SOM_VER,Dati fisici
SN_NITRI_NITRA,Dati fisici
SN_SOLA_LETTURA,Altro
SOLFATO,Dati fisici
SN_FLUS_SUP,Dati fisici
SN_NOSTA_IDR,Altro
SN_SPAZI_CONF,Altro
SORGENTE,Dati geografici
SN_FOSFATI,Dati fisici
SN_ORG_ALOG,Dati fisici
SN_STRIPP,Manutenzione
SORGENTE,Dati geografici
SN_GEL,Presenza
SN_OSMOSI_INV,Dati fisici
SN_STRUM_MIS_PORT,Altro
SOTTENSIONE,Dati fisici
SN_GETTO_CONT,Dati fisici
SN_OSS_C_NITRI,Dati fisici
SN_TELECOMANDO,Altro
SPESSORE,Dati fisici
SN_GRIGLIAT,Dati fisici
SN_OSS_S_NITRI,Dati fisici
SN_TELECOMANDO,Altro
STATI,Stato
SN_GRIG_SPINTA,Dati fisici
SN_PARAM_OUT,Dati fisici
SN_TELECONT,Altro
STEP_TEST,Altro
SN_GRIG_TRAD,Dati fisici
SN_PIANO_PARTICEL,Dati fisici
SN_TELECONT,Altro
STEUS,Altro
SN_GR_ELETT,Presenza
SN_PNT_PRIMARIO,Dati fisici
SN_TELECONT,Altro
STORT,Dati geografici
SN_H2O_GAS,Dati fisici
SN_POST_ISPES,Dati fisici
Telecontrollo,Altro
STRMN,Altro
SN_IDONEO_VVFF,Altro
SN_PRECIPIT,Dati fisici
Telecontrollo,Altro
STRNO,Dati commerciali
SN_IDROC_ALOG,Dati fisici
SN_PREDIS_ALL,Dati fisici
SN_TERZIARIO,Altro
STRNO,Dati commerciali
SN_IMHOFF,Altro
SN_PRESA_SUCC,Presenza
SN_TRATTAM_AMPP,Manutenzione
STRNO_GIS,Dati commerciali
SN_IMM_CRITICA,Altro
SN_PRESID,Altro
SN_TRATT_BIO,Manutenzione
STRUR,Altro
SN_INCEN_TERM,Altro
SN_PREVAL,Dati commerciali
SN_TRAV_FLUV,Altro
STRUTTURA,Altro
SN_INTEGR_SAP,Altro
SN_PRODUTTIVO,Dati commerciali
SN_TRIALOM,Altro
STSMA,Altro
SN_INTEGR_SAP,Altro
SN_PRODUZ_GAS,Dati commerciali
SN_USO_ALTRO,Dati commerciali
STSMA,Dati commerciali
SN_INTERRATO,Altro
SN_PUBBLICA,Dati fisici
SN_USO_ASL,Altro
ST_SAP_INT,Dati commerciali
SN_INV_NORM_COLL,Altro
SN_RECINZ,Dati fisici
SN_USO_IDROELET,Altro
SUBALT_REPERT,Altro
SN_IRRAG_UV,Altro
SN_RES_SCA_ION,Altro
SN_USO_INDUSTR,Altro
SUBCOD,Codice
SN_ISPESS,Dati fisici
SN_RISERVA,Altro
SN_USO_IRRIGUO,Altro
SUP_VAS_OSSID,Dati fisici
