DENOM_L1,True,True,True
DENOM_L2,True,True,True
DENOM_L3,True,True,True
DENOM_L4,True,True,True
DENOM_L5,True,True,True
DENOM_PNT_PP_VALLE,True,True,True
DENOM,True,True,True
DENOM,True,True,True
DENOM,True,True,True
DENOM_ALTERN,True,True,True
LASTNAME,True,True,True
EMAIL,True,True,True
LOGIN,True,True,True
LU_NAME,True,True,True
PASSWORD,True,True,True
NOMINATIVO,True,True,True
NOMINATIVO_GEST,True,True,True
SN_DER_ALTRO,True,True,True
NOME,True,True,True
DENOM,True,True,True
